LanguageID,LanguageName,BookmarkName,Translation,TranslationName
8,French (Belgium),bmkAuthorFaxLabel,"Télécopie directe",AuthorFaxLabel
9,Czech,bmkAuthorFaxLabel,"Osobní fax",AuthorFaxLabel
10,Dutch,bmkAuthorFaxLabel,"Fax",AuthorFaxLabel
11,Hungarian,bmkAuthorFaxLabel,"Személyes fax",AuthorFaxLabel
12,Spanish,bmkAuthorFaxLabel,"Fax personal",AuthorFaxLabel
13,Russian,bmkAuthorFaxLabel,"Личный Факс",AuthorFaxLabel
14,English (US),bmkAuthorFaxLabel,"Personal fax",AuthorFaxLabel
15,English (AUS),bmkAuthorFaxLabel,"Personal fax",AuthorFaxLabel
16,Greek,bmkAuthorFaxLabel,"Προσωπικό φαξ ",AuthorFaxLabel
17,Portuguese (Brazil),bmkAuthorFaxLabel,"Fax pessoal",AuthorFaxLabel
18,Turkish,bmkAuthorFaxLabel,"Kişisel faks",AuthorFaxLabel
19,Vietnamese,bmkAuthorFaxLabel,"Số fax cá nhân",AuthorFaxLabel
1,English (UK),bmkAuthorMobileLabel,"Mobile",AuthorMobileLabel
2,French,bmkAuthorMobileLabel,"Portable",AuthorMobileLabel
3,Slovak,bmkAuthorMobileLabel,"Mobil",AuthorMobileLabel
4,Italian,bmkAuthorMobileLabel,"Mobile",AuthorMobileLabel
5,Polish,bmkAuthorMobileLabel,"Tel kom",AuthorMobileLabel
6,German,bmkAuthorMobileLabel,"Mobiltelefon",AuthorMobileLabel
7,Dutch (Belgium),bmkAuthorMobileLabel,"Mobile",AuthorMobileLabel
8,French (Belgium),bmkAuthorMobileLabel,"Numéro de portable",AuthorMobileLabel
9,Czech,bmkAuthorMobileLabel,"Mobil",AuthorMobileLabel
10,Dutch,bmkAuthorMobileLabel,"Mobiel",AuthorMobileLabel
11,Hungarian,bmkAuthorMobileLabel,"Mobiltelefon",AuthorMobileLabel
12,Spanish,bmkAuthorMobileLabel,"Móvil",AuthorMobileLabel
13,Russian,bmkAuthorMobileLabel,"Мобильный",AuthorMobileLabel
14,English (US),bmkAuthorMobileLabel,"Mobile",AuthorMobileLabel
15,English (AUS),bmkAuthorMobileLabel,"Mobile",AuthorMobileLabel
16,Greek,bmkAuthorMobileLabel,"Κινητό",AuthorMobileLabel
17,Portuguese (Brazil),bmkAuthorMobileLabel,"Celular",AuthorMobileLabel
18,Turkish,bmkAuthorMobileLabel,"Cep telefonu",AuthorMobileLabel
19,Vietnamese,bmkAuthorMobileLabel,"Số điện thoại di động",AuthorMobileLabel
1,English (UK),bmkClientLabel,"Client",ClientLabel
2,French,bmkClientLabel,"Client",ClientLabel
3,Slovak,bmkClientLabel,"Klient",ClientLabel
4,Italian,bmkClientLabel,"Cliente",ClientLabel
5,Polish,bmkClientLabel,"Klient",ClientLabel
6,German,bmkClientLabel,"Mandant",ClientLabel
7,Dutch (Belgium),bmkClientLabel,"Klant",ClientLabel
8,French (Belgium),bmkClientLabel,"Client",ClientLabel
9,Czech,bmkClientLabel,"Klient",ClientLabel
11,Hungarian,bmkClientLabel,"Ügyfél",ClientLabel
12,Spanish,bmkClientLabel,"Cliente",ClientLabel
13,Russian,bmkClientLabel,"Клиент",ClientLabel
14,English (US),bmkClientLabel,"Client",ClientLabel
15,English (AUS),bmkClientLabel,"Client",ClientLabel
16,Greek,bmkClientLabel,"Πελάτης",ClientLabel
17,Portuguese (Brazil),bmkClientLabel,"Cliente",ClientLabel
18,Turkish,bmkClientLabel,"Müvekkil",ClientLabel
19,Vietnamese,bmkClientLabel,"Khách hàng",ClientLabel
1,English (UK),bmkClientMatterNoLabel,"Our ref",ClientMatterNoLabel
2,French,bmkClientMatterNoLabel,"Notre réf.",ClientMatterNoLabel
3,Slovak,bmkClientMatterNoLabel,"Naša značka",ClientMatterNoLabel
4,Italian,bmkClientMatterNoLabel,"Ns rif",ClientMatterNoLabel
5,Polish,bmkClientMatterNoLabel,"Nasze ref",ClientMatterNoLabel
6,German,bmkClientMatterNoLabel,"Unser Zeichen",ClientMatterNoLabel
7,Dutch (Belgium),bmkClientMatterNoLabel,"Ons kenmerk",ClientMatterNoLabel
8,French (Belgium),bmkClientMatterNoLabel,"Notre réf.",ClientMatterNoLabel
9,Czech,bmkClientMatterNoLabel,"Naše značka",ClientMatterNoLabel
11,Hungarian,bmkClientMatterNoLabel,"Ügyszámunk",ClientMatterNoLabel
12,Spanish,bmkClientMatterNoLabel,"Nuestra ref",ClientMatterNoLabel
13,Russian,bmkClientMatterNoLabel,"Исх. номер",ClientMatterNoLabel
14,English (US),bmkClientMatterNoLabel,"Our ref",ClientMatterNoLabel
15,English (AUS),bmkClientMatterNoLabel,"Our ref",ClientMatterNoLabel
16,Greek,bmkClientMatterNoLabel,"Αναφορικά με",ClientMatterNoLabel
17,Portuguese (Brazil),bmkClientMatterNoLabel,"Nossa ref",ClientMatterNoLabel
18,Turkish,bmkClientMatterNoLabel,"İlgi",ClientMatterNoLabel
19,Vietnamese,bmkClientMatterNoLabel,"Số tham chiếu của chúng tôi",ClientMatterNoLabel
1,English (UK),bmkCopyLabel,"Copy",CopyLabel
2,French,bmkCopyLabel,"Copie",CopyLabel
3,Slovak,bmkCopyLabel,"Kópia",CopyLabel
4,Italian,bmkCopyLabel,"Copia",CopyLabel
5,Polish,bmkCopyLabel,"Kopia",CopyLabel
6,German,bmkCopyLabel,"Kopie",CopyLabel
7,Dutch (Belgium),bmkCopyLabel,"Kopie",CopyLabel
8,French (Belgium),bmkCopyLabel,"Copie",CopyLabel
9,Czech,bmkCopyLabel,"Kopie na vědomí",CopyLabel
10,Dutch,bmkCopyLabel,"Kopie aan",CopyLabel
11,Hungarian,bmkCopyLabel,"Másolatot kap",CopyLabel
12,Spanish,bmkCopyLabel,"Copia",CopyLabel
13,Russian,bmkCopyLabel,"Копия",CopyLabel
14,English (US),bmkCopyLabel,"Copy",CopyLabel
15,English (AUS),bmkCopyLabel,"Copy",CopyLabel
16,Greek,bmkCopyLabel,"Κοινοποίηση",CopyLabel
17,Portuguese (Brazil),bmkCopyLabel,"Cópia",CopyLabel
18,Turkish,bmkCopyLabel,"Kopya",CopyLabel
19,Vietnamese,bmkCopyLabel,"Sao y",CopyLabel
1,English (UK),bmkCoverAccountLabel,"Account Nº",CoverAccountLabel
2,French,bmkCoverAccountLabel,"Compte",CoverAccountLabel
6,German,bmkCoverAccountLabel,"Konto",CoverAccountLabel
1,English (UK),bmkCoverAppointmentLabel,"Please call for an appointment",CoverAppointmentLabel
2,French,bmkCoverAppointmentLabel,"Prière de téléphoner pour un rendez-vous",CoverAppointmentLabel
6,German,bmkCoverAppointmentLabel,"bitte anrufen, um einen Termin festzusetzen",CoverAppointmentLabel
1,English (UK),bmkCoverCommentsLabel,"For your comments",CoverCommentsLabel
2,French,bmkCoverCommentsLabel,"Pour prendre attitude",CoverCommentsLabel
6,German,bmkCoverCommentsLabel,"zur Stellungnahme",CoverCommentsLabel
1,English (UK),bmkCoverEnclosedLabel,"Enclosed herewith",CoverEnclosedLabel
2,French,bmkCoverEnclosedLabel,"En restitution",CoverEnclosedLabel
6,German,bmkCoverEnclosedLabel,"Anlage(n)",CoverEnclosedLabel
1,English (UK),bmkCoverInformationLabel,"For your information",CoverInformationLabel
2,French,bmkCoverInformationLabel,"Pour information",CoverInformationLabel
6,German,bmkCoverInformationLabel,"Zur Kenntnisnahme",CoverInformationLabel
1,English (UK),bmkCoverRefToLabel,"The following document(s):",CoverRefToLabel
2,French,bmkCoverRefToLabel,"Le(s) document(s) suivant(s):",CoverRefToLabel
6,German,bmkCoverRefToLabel,"Anliegende(s) Schriftstück(e):",CoverRefToLabel
1,English (UK),bmkCoverRemarksLabel,"Remarks",CoverRemarksLabel
2,French,bmkCoverRemarksLabel,"Commentaires",CoverRemarksLabel
6,German,bmkCoverRemarksLabel,"Anmerkungen",CoverRemarksLabel
1,English (UK),bmkCoverSettleLabel,"Please settle",CoverSettleLabel
2,French,bmkCoverSettleLabel,"Pour règlement",CoverSettleLabel
6,German,bmkCoverSettleLabel,"zur Erledigung",CoverSettleLabel
1,English (UK),bmkCoverSignLabel,"Please sign and return",CoverSignLabel
2,French,bmkCoverSignLabel,"En communication avec prière de me retourner le récépissé dûment signé",CoverSignLabel
6,German,bmkCoverSignLabel,"Bitte um Unterschrift und Rückgabe",CoverSignLabel
1,English (UK),bmkCoverSubjectLabel,"Subject",CoverSubjectLabel
2,French,bmkCoverSubjectLabel,"Objet",CoverSubjectLabel
6,German,bmkCoverSubjectLabel,"Betreff",CoverSubjectLabel
1,English (UK),bmkDateLabel,"Date",DateLabel
2,French,bmkDateLabel,"Date",DateLabel
3,Slovak,bmkDateLabel,"Dátum",DateLabel
4,Italian,bmkDateLabel,"Data",DateLabel
5,Polish,bmkDateLabel,"Data",DateLabel
6,German,bmkDateLabel,"Datum",DateLabel
7,Dutch (Belgium),bmkDateLabel,"Datum",DateLabel
8,French (Belgium),bmkDateLabel,"Date",DateLabel
9,Czech,bmkDateLabel,"Datum",DateLabel
10,Dutch,bmkDateLabel,"Datum",DateLabel
11,Hungarian,bmkDateLabel,"Dátum",DateLabel
12,Spanish,bmkDateLabel,"Fecha",DateLabel
13,Russian,bmkDateLabel,"Число",DateLabel
14,English (US),bmkDateLabel,"Date",DateLabel
15,English (AUS),bmkDateLabel,"Date",DateLabel
16,Greek,bmkDateLabel,"Ημερομηνία",DateLabel
17,Portuguese (Brazil),bmkDateLabel,"Data",DateLabel
18,Turkish,bmkDateLabel,"Tarih",DateLabel
19,Vietnamese,bmkDateLabel,"Ngày",DateLabel
1,English (UK),bmkDirectLineLabel,"Direct",DirectLineLabel
2,French,bmkDirectLineLabel,"Ligne directe",DirectLineLabel
3,Slovak,bmkDirectLineLabel,"Priama linka",DirectLineLabel
4,Italian,bmkDirectLineLabel,"Linea diretta",DirectLineLabel
5,Polish,bmkDirectLineLabel,"Tel bezp",DirectLineLabel
6,German,bmkDirectLineLabel,"Durchwahl",DirectLineLabel
7,Dutch (Belgium),bmkDirectLineLabel,"Directe lijn",DirectLineLabel
8,French (Belgium),bmkDirectLineLabel,"Ligne directe",DirectLineLabel
9,Czech,bmkDirectLineLabel,"Přímá linka",DirectLineLabel
10,Dutch,bmkDirectLineLabel,"Telefoon",DirectLineLabel
11,Hungarian,bmkDirectLineLabel,"Közvetlen szám",DirectLineLabel
12,Spanish,bmkDirectLineLabel,"Número directo",DirectLineLabel
13,Russian,bmkDirectLineLabel,"Прямой тел",DirectLineLabel
14,English (US),bmkDirectLineLabel,"Direct line",DirectLineLabel
15,English (AUS),bmkDirectLineLabel,"Direct",DirectLineLabel
16,Greek,bmkDirectLineLabel,"Προσωπική γραμμή",DirectLineLabel
17,Portuguese (Brazil),bmkDirectLineLabel,"Direto",DirectLineLabel
18,Turkish,bmkDirectLineLabel,"Direkt hat",DirectLineLabel
19,Vietnamese,bmkDirectLineLabel,"Trực tiếp",DirectLineLabel
1,English (UK),bmkDirectLineTelLabel,"Telephone",DirectLineTelLabel
6,German,bmkDirectLineTelLabel,"Zentrale",DirectLineTelLabel
10,Dutch,bmkDirectLineTelLabel,"Telefoon",DirectLineTelLabel
1,English (UK),bmkEnclLabel,"Encl",EnclLabel
2,French,bmkEnclLabel,"P.J.",EnclLabel
3,Slovak,bmkEnclLabel,"Prílohy",EnclLabel
4,Italian,bmkEnclLabel,"All",EnclLabel
5,Polish,bmkEnclLabel,"Załączniki",EnclLabel
6,German,bmkEnclLabel,"Anlage(n)",EnclLabel
7,Dutch (Belgium),bmkEnclLabel,"Incl",EnclLabel
8,French (Belgium),bmkEnclLabel,"P.J.",EnclLabel
9,Czech,bmkEnclLabel,"Příloha",EnclLabel
10,Dutch,bmkEnclLabel,"Bijlagen",EnclLabel
11,Hungarian,bmkEnclLabel,"melléklet",EnclLabel
12,Spanish,bmkEnclLabel,"Adjunto",EnclLabel
13,Russian,bmkEnclLabel,"Прил",EnclLabel
14,English (US),bmkEnclLabel,"Encl",EnclLabel
15,English (AUS),bmkEnclLabel,"Encl",EnclLabel
16,Greek,bmkEnclLabel,"Συνημμένα",EnclLabel
17,Portuguese (Brazil),bmkEnclLabel,"Anexo(a)",EnclLabel
18,Turkish,bmkEnclLabel,"Ekli",EnclLabel
19,Vietnamese,bmkEnclLabel,"Bao gồm",EnclLabel
1,English (UK),bmkFaxLabel,"Fax",FaxLabel
2,French,bmkFaxLabel,"Télécopie",FaxLabel
3,Slovak,bmkFaxLabel,"Fax",FaxLabel
4,Italian,bmkFaxLabel,"Fax",FaxLabel
5,Polish,bmkFaxLabel,"Faks",FaxLabel
6,German,bmkFaxLabel,"Fax",FaxLabel
7,Dutch (Belgium),bmkFaxLabel,"Fax",FaxLabel
8,French (Belgium),bmkFaxLabel,"Télécopie",FaxLabel
9,Czech,bmkFaxLabel,"Fax",FaxLabel
10,Dutch,bmkFaxLabel,"Fax",FaxLabel
11,Hungarian,bmkFaxLabel,"Fax",FaxLabel
12,Spanish,bmkFaxLabel,"Fax",FaxLabel
13,Russian,bmkFaxLabel,"Факс",FaxLabel
14,English (US),bmkFaxLabel,"Fax",FaxLabel
15,English (AUS),bmkFaxLabel,"Fax",FaxLabel
16,Greek,bmkFaxLabel,"Φαξ",FaxLabel
17,Portuguese (Brazil),bmkFaxLabel,"Fax",FaxLabel
18,Turkish,bmkFaxLabel,"Faks",FaxLabel
19,Vietnamese,bmkFaxLabel,"Fax",FaxLabel
1,English (UK),bmkFaxLabelAlt,"Fax",FaxLabelAlt
5,Polish,bmkFaxLabelAlt,"Faks",FaxLabelAlt
1,English (UK),bmkFromLabel,"From",FromLabel
2,French,bmkFromLabel,"De",FromLabel
3,Slovak,bmkFromLabel,"Odosielateľ",FromLabel
4,Italian,bmkFromLabel,"Da",FromLabel
5,Polish,bmkFromLabel,"Od",FromLabel
6,German,bmkFromLabel,"Von",FromLabel
7,Dutch (Belgium),bmkFromLabel,"Van",FromLabel
8,French (Belgium),bmkFromLabel,"De",FromLabel
9,Czech,bmkFromLabel,"Od",FromLabel
10,Dutch,bmkFromLabel,"Van",FromLabel
11,Hungarian,bmkFromLabel,"Feladó",FromLabel
12,Spanish,bmkFromLabel,"De",FromLabel
13,Russian,bmkFromLabel,"От кого",FromLabel
14,English (US),bmkFromLabel,"From",FromLabel
15,English (AUS),bmkFromLabel,"From",FromLabel
16,Greek,bmkFromLabel,"Από",FromLabel
17,Portuguese (Brazil),bmkFromLabel,"De",FromLabel
18,Turkish,bmkFromLabel,"Gönderen",FromLabel
19,Vietnamese,bmkFromLabel,"Từ",FromLabel
1,English (UK),bmkInclThisPageLabel,"(including this page)",InclThisPageLabel
2,French,bmkInclThisPageLabel,"(y compris celle-ci)",InclThisPageLabel
3,Slovak,bmkInclThisPageLabel,"(vrátane tejto strany)",InclThisPageLabel
4,Italian,bmkInclThisPageLabel,"(inclusa la presente)",InclThisPageLabel
5,Polish,bmkInclThisPageLabel,"(łącznie ze stroną tytułową)",InclThisPageLabel
6,German,bmkInclThisPageLabel,"(einschließlich dieser Seite)",InclThisPageLabel
7,Dutch (Belgium),bmkInclThisPageLabel,"(deze pagina inbegrepen)",InclThisPageLabel
8,French (Belgium),bmkInclThisPageLabel,"(y compris celle-ci)",InclThisPageLabel
9,Czech,bmkInclThisPageLabel,"(včetně této strany)",InclThisPageLabel
10,Dutch,bmkInclThisPageLabel,"(incl. deze pagina)",InclThisPageLabel
11,Hungarian,bmkInclThisPageLabel,"(címlappal együtt)",InclThisPageLabel
12,Spanish,bmkInclThisPageLabel,"(incluyendo esta página)",InclThisPageLabel
13,Russian,bmkInclThisPageLabel,"(включая данную)",InclThisPageLabel
14,English (US),bmkInclThisPageLabel,"(incl this page)",InclThisPageLabel
15,English (AUS),bmkInclThisPageLabel,"(including this page)",InclThisPageLabel
16,Greek,bmkInclThisPageLabel,"(συμπεριλαμβανομένης αυτής της σελίδας)",InclThisPageLabel
17,Portuguese (Brazil),bmkInclThisPageLabel,"(incluindo esta página)",InclThisPageLabel
18,Turkish,bmkInclThisPageLabel,"(bu sayfa dahil olarak)",InclThisPageLabel
19,Vietnamese,bmkInclThisPageLabel,"(bao gồm trang này)",InclThisPageLabel
1,English (UK),bmkMatterLabel,"Matter",MatterLabel
2,French,bmkMatterLabel,"Dossier",MatterLabel
3,Slovak,bmkMatterLabel,"Vec",MatterLabel
4,Italian,bmkMatterLabel,"Pratica",MatterLabel
5,Polish,bmkMatterLabel,"Sprawa",MatterLabel
6,German,bmkMatterLabel,"Matter",MatterLabel
7,Dutch (Belgium),bmkMatterLabel,"Dossier",MatterLabel
8,French (Belgium),bmkMatterLabel,"Dossier",MatterLabel
9,Czech,bmkMatterLabel,"Věc",MatterLabel
11,Hungarian,bmkMatterLabel,"Ügy",MatterLabel
12,Spanish,bmkMatterLabel,"Asunto",MatterLabel
13,Russian,bmkMatterLabel,"Дело",MatterLabel
14,English (US),bmkMatterLabel,"Matter",MatterLabel
15,English (AUS),bmkMatterLabel,"Matter",MatterLabel
16,Greek,bmkMatterLabel,"Θέμα",MatterLabel
17,Portuguese (Brazil),bmkMatterLabel,"Assunto",MatterLabel
18,Turkish,bmkMatterLabel,"Proje",MatterLabel
19,Vietnamese,bmkMatterLabel,"Vụ việc",MatterLabel
1,English (UK),bmkNoOfPagesLabel,"Pages",NoOfPagesLabel
2,French,bmkNoOfPagesLabel,"Pages",NoOfPagesLabel
3,Slovak,bmkNoOfPagesLabel,"Počet strán",NoOfPagesLabel
4,Italian,bmkNoOfPagesLabel,"Pagine",NoOfPagesLabel
5,Polish,bmkNoOfPagesLabel,"Ilość stron",NoOfPagesLabel
6,German,bmkNoOfPagesLabel,"Seiten",NoOfPagesLabel
7,Dutch (Belgium),bmkNoOfPagesLabel,"Bladzijden",NoOfPagesLabel
8,French (Belgium),bmkNoOfPagesLabel,"Pages",NoOfPagesLabel
9,Czech,bmkNoOfPagesLabel,"Stránky",NoOfPagesLabel
10,Dutch,bmkNoOfPagesLabel,"Pagina's",NoOfPagesLabel
11,Hungarian,bmkNoOfPagesLabel,"Oldalak",NoOfPagesLabel
12,Spanish,bmkNoOfPagesLabel,"Páginas",NoOfPagesLabel
13,Russian,bmkNoOfPagesLabel,"Cтраниц",NoOfPagesLabel
14,English (US),bmkNoOfPagesLabel,"Pages",NoOfPagesLabel
15,English (AUS),bmkNoOfPagesLabel,"Pages",NoOfPagesLabel
16,Greek,bmkNoOfPagesLabel,"Σελίδες",NoOfPagesLabel
17,Portuguese (Brazil),bmkNoOfPagesLabel,"Páginas",NoOfPagesLabel
18,Turkish,bmkNoOfPagesLabel,"Sayfalar",NoOfPagesLabel
19,Vietnamese,bmkNoOfPagesLabel,"Trang",NoOfPagesLabel
1,English (UK),bmkOurRefLabel,"Our ref",OurRefLabel
2,French,bmkOurRefLabel,"Notre réf.",OurRefLabel
3,Slovak,bmkOurRefLabel,"Naša značka",OurRefLabel
4,Italian,bmkOurRefLabel,"Ns rif",OurRefLabel
5,Polish,bmkOurRefLabel,"Nasze ref",OurRefLabel
6,German,bmkOurRefLabel,"Unser Zeichen",OurRefLabel
7,Dutch (Belgium),bmkOurRefLabel,"Ons kenmerk",OurRefLabel
8,French (Belgium),bmkOurRefLabel,"Notre réf.",OurRefLabel
9,Czech,bmkOurRefLabel,"Naše značka",OurRefLabel
10,Dutch,bmkOurRefLabel,"Ons kenmerk",OurRefLabel
11,Hungarian,bmkOurRefLabel,"Ügyszámunk",OurRefLabel
12,Spanish,bmkOurRefLabel,"Nuestra ref",OurRefLabel
13,Russian,bmkOurRefLabel,"Исх. номер",OurRefLabel
14,English (US),bmkOurRefLabel,"Our ref",OurRefLabel
15,English (AUS),bmkOurRefLabel,"Our ref",OurRefLabel
16,Greek,bmkOurRefLabel,"Αναφορικά με",OurRefLabel
17,Portuguese (Brazil),bmkOurRefLabel,"Nossa ref",OurRefLabel
18,Turkish,bmkOurRefLabel,"İlgi",OurRefLabel
19,Vietnamese,bmkOurRefLabel,"Số tham chiếu của chúng tôi",OurRefLabel
1,English (UK),bmkSubjectLabel,"Subject",SubjectLabel
2,French,bmkSubjectLabel,"Objet",SubjectLabel
3,Slovak,bmkSubjectLabel,"Vec",SubjectLabel
4,Italian,bmkSubjectLabel,"Oggetto",SubjectLabel
5,Polish,bmkSubjectLabel,"Dotyczy",SubjectLabel
6,German,bmkSubjectLabel,"Betreff",SubjectLabel
7,Dutch (Belgium),bmkSubjectLabel,"Onderwerp",SubjectLabel
8,French (Belgium),bmkSubjectLabel,"Objet",SubjectLabel
9,Czech,bmkSubjectLabel,"Věc",SubjectLabel
10,Dutch,bmkSubjectLabel,"Onderwerp",SubjectLabel
11,Hungarian,bmkSubjectLabel,"Tárgy",SubjectLabel
12,Spanish,bmkSubjectLabel,"Asunto",SubjectLabel
13,Russian,bmkSubjectLabel,"Кас",SubjectLabel
14,English (US),bmkSubjectLabel,"Subject",SubjectLabel
15,English (AUS),bmkSubjectLabel,"Subject",SubjectLabel
16,Greek,bmkSubjectLabel,"Θέμα",SubjectLabel
17,Portuguese (Brazil),bmkSubjectLabel,"Assunto",SubjectLabel
18,Turkish,bmkSubjectLabel,"Konu",SubjectLabel
19,Vietnamese,bmkSubjectLabel,"Nội dung",SubjectLabel
1,English (UK),bmkTelLabel,"Tel",TelLabel
2,French,bmkTelLabel,"Téléphone",TelLabel
3,Slovak,bmkTelLabel,"Tel",TelLabel
4,Italian,bmkTelLabel,"Tel",TelLabel
5,Polish,bmkTelLabel,"Tel",TelLabel
6,German,bmkTelLabel,"Tel",TelLabel
7,Dutch (Belgium),bmkTelLabel,"Tel",TelLabel
8,French (Belgium),bmkTelLabel,"Téléphone",TelLabel
9,Czech,bmkTelLabel,"Tel",TelLabel
10,Dutch,bmkTelLabel,"Tel",TelLabel
11,Hungarian,bmkTelLabel,"Tel",TelLabel
12,Spanish,bmkTelLabel,"Teléfono",TelLabel
13,Russian,bmkTelLabel,"Тел",TelLabel
14,English (US),bmkTelLabel,"Tel",TelLabel
15,English (AUS),bmkTelLabel,"Tel",TelLabel
16,Greek,bmkTelLabel,"Τηλέφωνο",TelLabel
17,Portuguese (Brazil),bmkTelLabel,"Telefone",TelLabel
18,Turkish,bmkTelLabel,"Telefon",TelLabel
19,Vietnamese,bmkTelLabel,"Điện thoại",TelLabel
1,English (UK),bmkTelLabelAlt,"Tel",TelLabelAlt
5,Polish,bmkTelLabelAlt,"Tel",TelLabelAlt
1,English (UK),bmkTimeEngagedLabel,"Time engaged",TimeEngagedLabel
2,French,bmkTimeEngagedLabel,"Durée",TimeEngagedLabel
3,Slovak,bmkTimeEngagedLabel,"Trvanie",TimeEngagedLabel
4,Italian,bmkTimeEngagedLabel,"Ore lavorate",TimeEngagedLabel
5,Polish,bmkTimeEngagedLabel,"Czas trwania",TimeEngagedLabel
6,German,bmkTimeEngagedLabel,"Dauer",TimeEngagedLabel
7,Dutch (Belgium),bmkTimeEngagedLabel,"Duur",TimeEngagedLabel
8,French (Belgium),bmkTimeEngagedLabel,"Durée",TimeEngagedLabel
9,Czech,bmkTimeEngagedLabel,"Doba trvání",TimeEngagedLabel
11,Hungarian,bmkTimeEngagedLabel,"Időtartam",TimeEngagedLabel
12,Spanish,bmkTimeEngagedLabel,"Tiempo incurrido",TimeEngagedLabel
13,Russian,bmkTimeEngagedLabel,"Затрачено времени",TimeEngagedLabel
14,English (US),bmkTimeEngagedLabel,"Time engaged",TimeEngagedLabel
15,English (AUS),bmkTimeEngagedLabel,"Time engaged",TimeEngagedLabel
16,Greek,bmkTimeEngagedLabel,"Διάρκεια (Χρόνος που απαιτήθηκε)",TimeEngagedLabel
17,Portuguese (Brazil),bmkTimeEngagedLabel,"Duração",TimeEngagedLabel
18,Turkish,bmkTimeEngagedLabel,"Harcanan süre",TimeEngagedLabel
19,Vietnamese,bmkTimeEngagedLabel,"Thời gian tham gia",TimeEngagedLabel
1,English (UK),bmkToLabel,"To",ToLabel
2,French,bmkToLabel,"A",ToLabel
3,Slovak,bmkToLabel,"Príjemca",ToLabel
4,Italian,bmkToLabel,"A",ToLabel
5,Polish,bmkToLabel,"Do",ToLabel
6,German,bmkToLabel,"An",ToLabel
7,Dutch (Belgium),bmkToLabel,"Aan",ToLabel
8,French (Belgium),bmkToLabel,"A",ToLabel
9,Czech,bmkToLabel,"Komu",ToLabel
10,Dutch,bmkToLabel,"Aan",ToLabel
11,Hungarian,bmkToLabel,"Címzett",ToLabel
12,Spanish,bmkToLabel,"A",ToLabel
13,Russian,bmkToLabel,"Кому",ToLabel
14,English (US),bmkToLabel,"To",ToLabel
15,English (AUS),bmkToLabel,"To",ToLabel
16,Greek,bmkToLabel,"Προς",ToLabel
17,Portuguese (Brazil),bmkToLabel,"Para",ToLabel
18,Turkish,bmkToLabel,"Alıcı",ToLabel
19,Vietnamese,bmkToLabel,"Tới",ToLabel
1,English (UK),bmkYourRefLabel,"Your ref",YourRefLabel
2,French,bmkYourRefLabel,"Votre réf.",YourRefLabel
3,Slovak,bmkYourRefLabel,"Vaša značka",YourRefLabel
4,Italian,bmkYourRefLabel,"Vs rif",YourRefLabel
5,Polish,bmkYourRefLabel,"Wasze ref",YourRefLabel
6,German,bmkYourRefLabel,"Ihr Zeichen",YourRefLabel
7,Dutch (Belgium),bmkYourRefLabel,"Uw kenmerk",YourRefLabel
8,French (Belgium),bmkYourRefLabel,"Votre réf.",YourRefLabel
9,Czech,bmkYourRefLabel,"Vaše značka",YourRefLabel
10,Dutch,bmkYourRefLabel,"Uw kenmerk",YourRefLabel
11,Hungarian,bmkYourRefLabel,"Ügyszámuk",YourRefLabel
